source_place_id,source_place_name,source_coordinates,nearby_rank,nearby_place_id,nearby_place_name,nearby_coordinates,walking_distance,walking_time,driving_distance,driving_time
VNS007,Banaras Hindu University (BHU),"25.2677, 82.9913",3,VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",2.26 km,27 mins,2.26 km,7 mins
VNS007,Banaras Hindu University (BHU),"25.2677, 82.9913",4,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",2.67 km,32 mins,2.67 km,8 mins
VNS007,Banaras Hindu University (BHU),"25.2677, 82.9913",5,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",2.93 km,35 mins,2.93 km,9 mins
VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),"25.2657, 82.9877",1,VNS007,Banaras Hindu University (BHU),"25.2677, 82.9913",570 m,6 mins,0.57 km,2 mins
VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),"25.2657, 82.9877",2,VNS017,Bharat Kala Bhavan Museum,"25.2671, 82.9918",590 m,7 mins,0.59 km,2 mins
VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),"25.2657, 82.9877",3,VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",2.74 km,32 mins,2.74 km,9 mins
VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),"25.2657, 82.9877",4,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",3.12 km,37 mins,3.12 km,10 mins
VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),"25.2657, 82.9877",5,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",3.39 km,40 mins,3.39 km,11 mins
VNS009,Ramnagar Fort,"25.2829, 83.0238",1,VNS050,Chintamani Ganesh Temple,"25.281, 83.027",520 m,6 mins,0.52 km,2 mins
VNS009,Ramnagar Fort,"25.2829, 83.0238",2,VNS023,Chet Singh Ghat,"25.2936, 83.0035",3.19 km,38 mins,3.19 km,10 mins
VNS009,Ramnagar Fort,"25.2829, 83.0238",3,VNS035,Tulsi Ghat,"25.2895, 83.001",3.25 km,39 mins,3.25 km,10 mins
VNS009,Ramnagar Fort,"25.2829, 83.0238",4,VNS034,Harishchandra Ghat,"25.2965, 83.005",3.27 km,39 mins,3.27 km,10 mins
VNS009,Ramnagar Fort,"25.2829, 83.0238",5,VNS033,Kedar Ghat,"25.298, 83.006",3.31 km,39 mins,3.31 km,11 mins
VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",1,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",440 m,5 mins,0.44 km,2 mins
VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",2,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",670 m,8 mins,0.67 km,2 mins
VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",3,VNS004,Assi Ghat,"25.2882, 82.9996",1.01 km,12 mins,1.01 km,3 mins
VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",4,VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",1.01 km,12 mins,1.01 km,3 mins
VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",5,VNS035,Tulsi Ghat,"25.2895, 83.001",1.27 km,15 mins,1.27 km,4 mins
VNS011,Tulsi Manas Mandir,"25.2847, 82.997",1,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",270 m,3 mins,0.27 km,2 mins
VNS011,Tulsi Manas Mandir,"25.2847, 82.997",2,VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",440 m,5 mins,0.44 km,2 mins
VNS011,Tulsi Manas Mandir,"25.2847, 82.997",3,VNS004,Assi Ghat,"25.2882, 82.9996",630 m,7 mins,0.63 km,2 mins
VNS011,Tulsi Manas Mandir,"25.2847, 82.997",4,VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",630 m,7 mins,0.63 km,2 mins
VNS011,Tulsi Manas Mandir,"25.2847, 82.997",5,VNS035,Tulsi Ghat,"25.2895, 83.001",900 m,10 mins,0.9 km,3 mins
VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",1,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",270 m,3 mins,0.27 km,2 mins
VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",2,VNS004,Assi Ghat,"25.2882, 82.9996",360 m,4 mins,0.36 km,2 mins
